historyid,userid,destinationid,visitdate,experiencerating,name_user,email,preferences,gender,numberofadults,numberofchildren,name_dest,state,type,popularity,besttimetovisit,reviewid,rating,reviewtext
821.0,177.0,17.0,2024-02-15,2.0,Karan,karan@example.com,"City, Historical",Male,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,7.524150401549511,Nov-Mar,,,
,,18.0,,,,,,,,,Kampala City,Kampala,City,8.332572923728481,Oct-Mar,,,
494.0,511.0,19.0,2024-02-15,2.0,Karan,karan@example.com,"Beaches, Historical",Male,2.0,1.0,Lake Bunyonyi,Kabale,Nature,9.01709023649701,Sep-Mar,,,
764.0,939.0,19.0,2024-02-15,3.0,Anika,anika@example.com,"City, Historical",Female,2.0,0.0,Lake Bunyonyi,Kabale,Nature,9.01709023649701,Sep-Mar,,,
700.0,526.0,20.0,2024-01-01,3.0,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.930902395039807,Apr-Jun,,,
994.0,589.0,20.0,2024-01-01,1.0,Arjun,arjun@example.com,"Beaches, Historical",Male,2.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.930902395039807,Apr-Jun,,,
611.0,855.0,20.0,2024-02-15,1.0,Pooja,pooja@example.com,"City, Historical",Female,1.0,1.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.930902395039807,Apr-Jun,,,
124.0,50.0,21.0,2024-01-01,2.0,Pooja,pooja@example.com,"Nature, Adventure",Female,2.0,0.0,Murchison Falls,Masindi,Historical,9.321865627407217,Nov-Feb,,,
913.0,672.0,21.0,2024-01-01,3.0,Riya,riya@example.com,"City, Historical",Female,2.0,0.0,Murchison Falls,Masindi,Historical,9.321865627407217,Nov-Feb,,,
836.0,898.0,21.0,2024-02-15,3.0,Pooja,pooja@example.com,"Beaches, Historical",Female,2.0,0.0,Murchison Falls,Masindi,Historical,9.321865627407217,Nov-Feb,,,
120.0,316.0,22.0,2024-03-20,5.0,Meera,meera@example.com,"Beaches, Historical",Female,2.0,0.0,Zanzibar Beaches,Zanzibar,Beach,7.745073501266791,Nov-Mar,,,
591.0,688.0,22.0,2024-03-20,3.0,Kavya,kavya@example.com,"Beaches, Historical",Female,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,7.745073501266791,Nov-Mar,,,
,,23.0,,,,,,,,,Kampala City,Kampala,City,7.883349652185746,Oct-Mar,,,
820.0,278.0,24.0,2024-01-01,2.0,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1.0,2.0,Lake Bunyonyi,Kabale,Nature,9.182423104129008,Sep-Mar,,,
967.0,474.0,24.0,2024-01-01,5.0,Ritvik,ritvik@example.com,"City, Historical",Male,2.0,2.0,Lake Bunyonyi,Kabale,Nature,9.182423104129008,Sep-Mar,,,
723.0,637.0,24.0,2024-03-20,1.0,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1.0,0.0,Lake Bunyonyi,Kabale,Nature,9.182423104129008,Sep-Mar,,,
163.0,299.0,25.0,2024-01-01,2.0,Isha,isha@example.com,"Nature, Adventure",Female,2.0,1.0,Mount Rwenzori,Jammu and Kashmir,Adventure,9.416526131108329,Apr-Jun,,,
,,26.0,,,,,,,,,Murchison Falls,Masindi,Historical,9.088205553232354,Nov-Feb,,,
121.0,239.0,27.0,2024-01-01,4.0,Aarav,aarav@example.com,"Nature, Adventure",Male,2.0,0.0,Zanzibar Beaches,Zanzibar,Beach,7.504499933755479,Nov-Mar,,,
,,28.0,,,,,,,,,Kampala City,Kampala,City,8.471855314612888,Oct-Mar,,,
986.0,76.0,29.0,2024-02-15,5.0,Anika,anika@example.com,"Beaches, Historical",Female,2.0,0.0,Lake Bunyonyi,Kabale,Nature,8.320514389999829,Sep-Mar,,,
354.0,725.0,29.0,2024-03-20,1.0,Karan,karan@example.com,"Nature, Adventure",Male,1.0,1.0,Lake Bunyonyi,Kabale,Nature,8.320514389999829,Sep-Mar,,,
999.0,538.0,30.0,2024-03-20,5.0,Anika,anika@example.com,"Beaches, Historical",Female,2.0,1.0,Mount Rwenzori,Jammu and Kashmir,Adventure,7.930637906720852,Apr-Jun,,,
,,31.0,,,,,,,,,Murchison Falls,Masindi,Historical,8.534267493855534,Nov-Feb,,,
,,32.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,7.8063301955187105,Nov-Mar,,,
355.0,550.0,33.0,2024-01-01,2.0,Ritvik,ritvik@example.com,"Beaches, Historical",Male,1.0,0.0,Kampala City,Kampala,City,7.684440449007848,Oct-Mar,,,
,,34.0,,,,,,,,,Lake Bunyonyi,Kabale,Nature,8.206055639263237,Sep-Mar,,,
630.0,407.0,35.0,2024-03-20,2.0,Riya,riya@example.com,"Nature, Adventure",Female,2.0,1.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.115627955366532,Apr-Jun,,,
412.0,628.0,35.0,2024-01-01,5.0,Saanvi,saanvi@example.com,"Beaches, Historical",Female,1.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.115627955366532,Apr-Jun,,,
325.0,757.0,36.0,2024-01-01,5.0,Karan,karan@example.com,"Beaches, Historical",Male,1.0,0.0,Murchison Falls,Masindi,Historical,8.152769658316458,Nov-Feb,,,
731.0,934.0,36.0,2024-02-15,2.0,Saanvi,saanvi@example.com,"Beaches, Historical",Female,2.0,2.0,Murchison Falls,Masindi,Historical,8.152769658316458,Nov-Feb,,,
980.0,99.0,37.0,2024-02-15,4.0,Ishaan,ishaan@example.com,"City, Historical",Male,2.0,0.0,Zanzibar Beaches,Zanzibar,Beach,8.874757885859394,Nov-Mar,,,
29.0,324.0,38.0,2024-02-15,5.0,Rohan,rohan@example.com,"City, Historical",Male,1.0,1.0,Kampala City,Kampala,City,9.458687607787096,Oct-Mar,,,
347.0,560.0,38.0,2024-02-15,1.0,Tanvi,tanvi@example.com,"Nature, Adventure",Female,1.0,1.0,Kampala City,Kampala,City,9.458687607787096,Oct-Mar,,,
648.0,466.0,39.0,2024-03-20,4.0,Isha,isha@example.com,"Beaches, Historical",Female,1.0,2.0,Lake Bunyonyi,Kabale,Nature,9.276722027226734,Sep-Mar,,,
829.0,16.0,40.0,2024-01-01,4.0,Anika,anika@example.com,"Beaches, Historical",Female,1.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,9.451473447708324,Apr-Jun,,,
300.0,70.0,41.0,2024-03-20,3.0,Rohan,rohan@example.com,"Beaches, Historical",Male,1.0,2.0,Murchison Falls,Masindi,Historical,9.45205627034071,Nov-Feb,,,
545.0,928.0,41.0,2024-02-15,3.0,Riya,riya@example.com,"Beaches, Historical",Female,1.0,1.0,Murchison Falls,Masindi,Historical,9.45205627034071,Nov-Feb,,,
824.0,212.0,42.0,2024-02-15,1.0,Tanvi,tanvi@example.com,"Nature, Adventure",Female,2.0,0.0,Zanzibar Beaches,Zanzibar,Beach,8.854828172623169,Nov-Mar,,,
924.0,234.0,42.0,2024-03-20,1.0,Ritvik,ritvik@example.com,"City, Historical",Male,1.0,0.0,Zanzibar Beaches,Zanzibar,Beach,8.854828172623169,Nov-Mar,,,
232.0,786.0,42.0,2024-01-01,5.0,Tanvi,tanvi@example.com,"City, Historical",Female,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,8.854828172623169,Nov-Mar,,,
,,43.0,,,,,,,,,Kampala City,Kampala,City,8.935833780679161,Oct-Mar,,,
,,44.0,,,,,,,,,Lake Bunyonyi,Kabale,Nature,8.844208014043545,Sep-Mar,,,
,,45.0,,,,,,,,,Mount Rwenzori,Jammu and Kashmir,Adventure,8.987615299121257,Apr-Jun,,,
,,46.0,,,,,,,,,Murchison Falls,Masindi,Historical,8.66663306287539,Nov-Feb,,,
,,47.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,7.726020724706562,Nov-Mar,,,
943.0,358.0,48.0,2024-01-01,1.0,Anika,anika@example.com,"Beaches, Historical",Female,2.0,0.0,Kampala City,Kampala,City,9.072662351480414,Oct-Mar,,,
343.0,80.0,49.0,2024-01-01,2.0,Diya,diya@example.com,"Nature, Adventure",Female,1.0,2.0,Lake Bunyonyi,Kabale,Nature,8.0159728308643,Sep-Mar,,,
227.0,123.0,49.0,2024-02-15,2.0,Diya,diya@example.com,"City, Historical",Female,2.0,1.0,Lake Bunyonyi,Kabale,Nature,8.0159728308643,Sep-Mar,,,
662.0,302.0,49.0,2024-02-15,1.0,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1.0,2.0,Lake Bunyonyi,Kabale,Nature,8.0159728308643,Sep-Mar,,,
393.0,8.0,50.0,2024-03-20,5.0,Vivaan,vivaan@example.com,"Nature, Adventure",Male,2.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.18047732584072,Apr-Jun,,,
482.0,13.0,50.0,2024-02-15,5.0,Dhruv,dhruv@example.com,"Beaches, Historical",Male,1.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.18047732584072,Apr-Jun,,,
392.0,115.0,50.0,2024-02-15,3.0,Meera,meera@example.com,"Beaches, Historical",Female,1.0,1.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.18047732584072,Apr-Jun,,,
101.0,934.0,51.0,2024-02-15,2.0,Saanvi,saanvi@example.com,"Beaches, Historical",Female,2.0,2.0,Murchison Falls,Masindi,Historical,8.329362264700663,Nov-Feb,,,
,,52.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,8.298754590990846,Nov-Mar,,,
796.0,100.0,53.0,2024-01-01,3.0,Tanvi,tanvi@example.com,"Beaches, Historical",Female,1.0,1.0,Kampala City,Kampala,City,8.399568313158765,Oct-Mar,,,
644.0,349.0,53.0,2024-02-15,1.0,Tanvi,tanvi@example.com,"Beaches, Historical",Female,2.0,1.0,Kampala City,Kampala,City,8.399568313158765,Oct-Mar,,,
,,54.0,,,,,,,,,Lake Bunyonyi,Kabale,Nature,8.116931496368345,Sep-Mar,,,
901.0,234.0,55.0,2024-01-01,5.0,Ritvik,ritvik@example.com,"City, Historical",Male,1.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,7.560629646730556,Apr-Jun,,,
962.0,799.0,55.0,2024-02-15,3.0,Riya,riya@example.com,"Beaches, Historical",Female,1.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,7.560629646730556,Apr-Jun,,,
,,56.0,,,,,,,,,Murchison Falls,Masindi,Historical,8.77933917498307,Nov-Feb,,,
,,57.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,8.061326287087322,Nov-Mar,,,
436.0,163.0,58.0,2024-01-01,4.0,Diya,diya@example.com,"Beaches, Historical",Female,2.0,2.0,Kampala City,Kampala,City,8.648115222412239,Oct-Mar,,,
906.0,390.0,59.0,2024-03-20,4.0,Arjun,arjun@example.com,"City, Historical",Male,2.0,1.0,Lake Bunyonyi,Kabale,Nature,9.490122865222292,Sep-Mar,,,
,,60.0,,,,,,,,,Mount Rwenzori,Jammu and Kashmir,Adventure,8.090294276209098,Apr-Jun,,,
125.0,78.0,61.0,2024-02-15,4.0,Aditya,aditya@example.com,"City, Historical",Male,1.0,0.0,Murchison Falls,Masindi,Historical,9.255411351531992,Nov-Feb,,,
589.0,269.0,62.0,2024-01-01,3.0,Aarav,aarav@example.com,"Nature, Adventure",Male,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,9.379786903532915,Nov-Mar,,,
352.0,992.0,62.0,2024-01-01,4.0,Karan,karan@example.com,"Nature, Adventure",Male,1.0,2.0,Zanzibar Beaches,Zanzibar,Beach,9.379786903532915,Nov-Mar,,,
,,63.0,,,,,,,,,Kampala City,Kampala,City,9.202094230781736,Oct-Mar,,,
950.0,225.0,64.0,2024-02-15,5.0,Isha,isha@example.com,"City, Historical",Female,2.0,0.0,Lake Bunyonyi,Kabale,Nature,7.995381521960635,Sep-Mar,,,
583.0,441.0,65.0,2024-01-01,2.0,Diya,diya@example.com,"City, Historical",Female,2.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.264285623199319,Apr-Jun,,,
166.0,483.0,66.0,2024-01-01,1.0,Pooja,pooja@example.com,"City, Historical",Female,1.0,1.0,Murchison Falls,Masindi,Historical,8.657185750902032,Nov-Feb,,,
747.0,95.0,67.0,2024-03-20,2.0,Kavya,kavya@example.com,"Nature, Adventure",Female,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,7.593468221686345,Nov-Mar,,,
242.0,443.0,67.0,2024-02-15,2.0,Rohan,rohan@example.com,"Nature, Adventure",Male,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,7.593468221686345,Nov-Mar,,,
152.0,979.0,68.0,2024-02-15,2.0,Rohan,rohan@example.com,"Beaches, Historical",Male,1.0,2.0,Kampala City,Kampala,City,7.599766915318256,Oct-Mar,,,
,,69.0,,,,,,,,,Lake Bunyonyi,Kabale,Nature,9.251449511759905,Sep-Mar,,,
,,70.0,,,,,,,,,Mount Rwenzori,Jammu and Kashmir,Adventure,8.302199786049163,Apr-Jun,,,
452.0,777.0,71.0,2024-02-15,3.0,Vivaan,vivaan@example.com,"City, Historical",Male,1.0,2.0,Murchison Falls,Masindi,Historical,7.918856059125499,Nov-Feb,,,
,,72.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,9.49812898326928,Nov-Mar,,,
,,73.0,,,,,,,,,Kampala City,Kampala,City,9.365362186929548,Oct-Mar,,,
,,74.0,,,,,,,,,Lake Bunyonyi,Kabale,Nature,8.61852560875922,Sep-Mar,,,
326.0,424.0,75.0,2024-02-15,1.0,Riya,riya@example.com,"Beaches, Historical",Female,1.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.051674304536373,Apr-Jun,,,
239.0,888.0,75.0,2024-02-15,4.0,Riya,riya@example.com,"City, Historical",Female,2.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.051674304536373,Apr-Jun,,,
898.0,904.0,75.0,2024-01-01,3.0,Rohan,rohan@example.com,"Beaches, Historical",Male,1.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.051674304536373,Apr-Jun,,,
931.0,978.0,76.0,2024-01-01,4.0,Pooja,pooja@example.com,"City, Historical",Female,2.0,1.0,Murchison Falls,Masindi,Historical,9.019776840711156,Nov-Feb,,,
,,77.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,8.72436552320658,Nov-Mar,,,
997.0,831.0,78.0,2024-01-01,1.0,Pooja,pooja@example.com,"City, Historical",Female,2.0,2.0,Kampala City,Kampala,City,8.697245496090385,Oct-Mar,,,
252.0,852.0,79.0,2024-03-20,4.0,Dhruv,dhruv@example.com,"City, Historical",Male,2.0,2.0,Lake Bunyonyi,Kabale,Nature,8.48262944456915,Sep-Mar,,,
296.0,343.0,80.0,2024-02-15,3.0,Saanvi,saanvi@example.com,"Beaches, Historical",Female,2.0,1.0,Mount Rwenzori,Jammu and Kashmir,Adventure,9.167168852535996,Apr-Jun,,,
763.0,990.0,81.0,2024-01-01,3.0,Diya,diya@example.com,"City, Historical",Female,2.0,2.0,Murchison Falls,Masindi,Historical,8.113730398100675,Nov-Feb,,,
539.0,609.0,82.0,2024-02-15,2.0,Meera,meera@example.com,"City, Historical",Female,2.0,2.0,Zanzibar Beaches,Zanzibar,Beach,8.067416540924038,Nov-Mar,,,
146.0,703.0,82.0,2024-02-15,2.0,Vivaan,vivaan@example.com,"Beaches, Historical",Male,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,8.067416540924038,Nov-Mar,,,
665.0,972.0,83.0,2024-02-15,1.0,Kavya,kavya@example.com,"City, Historical",Female,2.0,0.0,Kampala City,Kampala,City,9.25520276869782,Oct-Mar,,,
927.0,345.0,84.0,2024-03-20,4.0,Karan,karan@example.com,"City, Historical",Male,1.0,0.0,Lake Bunyonyi,Kabale,Nature,9.33374854303011,Sep-Mar,,,
750.0,397.0,85.0,2024-03-20,3.0,Anika,anika@example.com,"Beaches, Historical",Female,2.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,7.877439168200071,Apr-Jun,,,
278.0,232.0,86.0,2024-02-15,4.0,Ishaan,ishaan@example.com,"Beaches, Historical",Male,2.0,0.0,Murchison Falls,Masindi,Historical,8.093807911279,Nov-Feb,,,
291.0,610.0,87.0,2024-03-20,5.0,Vivaan,vivaan@example.com,"Beaches, Historical",Male,1.0,1.0,Zanzibar Beaches,Zanzibar,Beach,8.322799778823294,Nov-Mar,,,
,,88.0,,,,,,,,,Kampala City,Kampala,City,9.018383603515831,Oct-Mar,,,
710.0,11.0,89.0,2024-02-15,3.0,Vivaan,vivaan@example.com,"Nature, Adventure",Male,2.0,2.0,Lake Bunyonyi,Kabale,Nature,8.686130970942902,Sep-Mar,,,
376.0,530.0,90.0,2024-01-01,4.0,Anika,anika@example.com,"Nature, Adventure",Female,2.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,7.864848872360961,Apr-Jun,,,
119.0,35.0,91.0,2024-02-15,5.0,Rohan,rohan@example.com,"Nature, Adventure",Male,2.0,1.0,Murchison Falls,Masindi,Historical,8.775155892425978,Nov-Feb,,,
432.0,578.0,91.0,2024-03-20,4.0,Tanvi,tanvi@example.com,"Nature, Adventure",Female,2.0,1.0,Murchison Falls,Masindi,Historical,8.775155892425978,Nov-Feb,,,
711.0,56.0,92.0,2024-03-20,5.0,Aditya,aditya@example.com,"Nature, Adventure",Male,1.0,1.0,Zanzibar Beaches,Zanzibar,Beach,7.842354721882594,Nov-Mar,,,
84.0,69.0,92.0,2024-03-20,2.0,Arjun,arjun@example.com,"City, Historical",Male,1.0,0.0,Zanzibar Beaches,Zanzibar,Beach,7.842354721882594,Nov-Mar,,,
,,93.0,,,,,,,,,Kampala City,Kampala,City,9.116298424696906,Oct-Mar,,,
99.0,671.0,94.0,2024-03-20,2.0,Dhruv,dhruv@example.com,"Nature, Adventure",Male,2.0,2.0,Lake Bunyonyi,Kabale,Nature,7.678657960181018,Sep-Mar,,,
,,95.0,,,,,,,,,Mount Rwenzori,Jammu and Kashmir,Adventure,8.18716561676901,Apr-Jun,,,
116.0,160.0,96.0,2024-02-15,1.0,Aanya,aanya@example.com,"Beaches, Historical",Female,2.0,2.0,Murchison Falls,Masindi,Historical,8.984287702263758,Nov-Feb,,,
856.0,431.0,97.0,2024-01-01,4.0,Arjun,arjun@example.com,"Nature, Adventure",Male,1.0,1.0,Zanzibar Beaches,Zanzibar,Beach,8.882535315140167,Nov-Mar,,,
11.0,522.0,97.0,2024-02-15,2.0,Kavya,kavya@example.com,"City, Historical",Female,2.0,0.0,Zanzibar Beaches,Zanzibar,Beach,8.882535315140167,Nov-Mar,,,
,,98.0,,,,,,,,,Kampala City,Kampala,City,7.511446246886857,Oct-Mar,,,
,,99.0,,,,,,,,,Lake Bunyonyi,Kabale,Nature,8.154277486295694,Sep-Mar,,,
968.0,283.0,100.0,2024-02-15,3.0,Anika,anika@example.com,"Beaches, Historical",Female,1.0,1.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.55062227154497,Apr-Jun,,,
309.0,92.0,101.0,2024-03-20,3.0,Tanvi,tanvi@example.com,"Nature, Adventure",Female,2.0,0.0,Murchison Falls,Masindi,Historical,9.35787687156371,Nov-Feb,,,
469.0,306.0,102.0,2024-01-01,3.0,Meera,meera@example.com,"City, Historical",Female,2.0,1.0,Zanzibar Beaches,Zanzibar,Beach,7.901206474541698,Nov-Mar,,,
917.0,497.0,103.0,2024-02-15,1.0,Aarav,aarav@example.com,"Nature, Adventure",Male,2.0,1.0,Kampala City,Kampala,City,9.293866271159713,Oct-Mar,,,
488.0,840.0,103.0,2024-02-15,5.0,Diya,diya@example.com,"City, Historical",Female,1.0,0.0,Kampala City,Kampala,City,9.293866271159713,Oct-Mar,,,
558.0,862.0,103.0,2024-03-20,2.0,Arjun,arjun@example.com,"Beaches, Historical",Male,1.0,1.0,Kampala City,Kampala,City,9.293866271159713,Oct-Mar,,,
,,104.0,,,,,,,,,Lake Bunyonyi,Kabale,Nature,9.032056856576263,Sep-Mar,,,
580.0,342.0,105.0,2024-01-01,3.0,Hitesh,hitesh@example.com,"City, Historical",Male,1.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,9.367695620218187,Apr-Jun,,,
72.0,446.0,105.0,2024-03-20,3.0,Saanvi,saanvi@example.com,"Nature, Adventure",Female,2.0,2.0,Mount Rwenzori,Jammu and Kashmir,Adventure,9.367695620218187,Apr-Jun,,,
954.0,565.0,106.0,2024-03-20,5.0,Ritvik,ritvik@example.com,"Beaches, Historical",Male,2.0,1.0,Murchison Falls,Masindi,Historical,8.494823560399388,Nov-Feb,,,
,,107.0,,,,,,,,,Zanzibar Beaches,Zanzibar,Beach,8.670099991881528,Nov-Mar,,,
755.0,928.0,108.0,2024-02-15,4.0,Riya,riya@example.com,"Beaches, Historical",Female,1.0,1.0,Kampala City,Kampala,City,8.180179995253692,Oct-Mar,,,
738.0,823.0,109.0,2024-03-20,3.0,Pooja,pooja@example.com,"Beaches, Historical",Female,1.0,2.0,Lake Bunyonyi,Kabale,Nature,8.024075275103758,Sep-Mar,,,
348.0,837.0,109.0,2024-03-20,3.0,Meera,meera@example.com,"City, Historical",Female,2.0,2.0,Lake Bunyonyi,Kabale,Nature,8.024075275103758,Sep-Mar,,,
858.0,629.0,110.0,2024-03-20,5.0,Riya,riya@example.com,"Nature, Adventure",Female,2.0,0.0,Mount Rwenzori,Jammu and Kashmir,Adventure,8.885980061188206,Apr-Jun,,,
,,111.0,,,,,,,,,Murchison Falls,Masindi,Historical,8.979764648904338,Nov-Feb,,,
741.0,216.0,112.0,2024-03-20,1.0,Meera,meera@example.com,"City, Historical",Female,1.0,2.0,Zanzibar Beaches,Zanzibar,Beach,8.196505600821453,Nov-Mar,,,
454.0,346.0,113.0,2024-01-01,2.0,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2.0,2.0,Kampala City,Kampala,City,7.576534512918616,Oct-Mar,,,
948.0,534.0,113.0,2024-03-20,3.0,Aanya,aanya@example.com,"City, Historical",Female,1.0,1.0,Kampala City,Kampala,City,7.576534512918616,Oct-Mar,,,
914.0,550.0,113.0,2024-02-15,3.0,Ritvik,ritvik@example.com,"Beaches, Historical",Male,1.0,0.0,Kampala City,Kampala,City,7.576534512918616,Oct-Mar,,,
533.0,964.0,113.0,2024-02-15,4.0,Saanvi,saanvi@example.com,"Beaches, Historical",Female,1.0,0.0,Kampala City,Kampala,City,7.576534512918616,Oct-Mar,,,
713.0,50.0,114.0,2024-02-15,3.0,Pooja,pooja@example.com,"Nature, Adventure",Female,2.0,0.0,Lake Bunyonyi,Kabale,Nature,9.46714704036077,Sep-Mar,,,
170.0,467.0,114.0,2024-02-15,2.0,Karan,karan@example.com,"Nature, Adventure",Male,2.0,2.0,Lake Bunyonyi,Kabale,Nature,9.46714704036077,Sep-Mar,,,
32.0,476.0,114.0,2024-02-15,1.0,Anika,anika@example.com,"Nature, Adventure",Female,1.0,0.0,Lake Bunyonyi,Kabale,Nature,9.46714704036077,Sep-Mar,,,
935.0,745.0,114.0,2024-02-15,2.0,Saanvi,saanvi@example.com,"Beaches, Historical",Female,1.0,2.0,Lake Bunyonyi,Kabale,Nature,9.46714704036077,Sep-Mar,,,
